City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
172,nantucket,41.2835,-70.0995,13.41,73,0,9.26,US,1681259472
173,simplicio mendes,-7.8539,-41.9103,25.31,65,92,1.38,BR,1681259472
174,nakapiripirit,1.9167,34.7833,19.47,64,97,1.16,UG,1681259473
175,awjilah,29.1081,21.2869,13.3,71,1,5.67,LY,1681259473
176,marabba,12.35,32.1833,31.86,13,94,3.73,SD,1681259474
177,namatanai,-3.6667,152.4333,29.27,68,99,3.59,PG,1681259474
178,chiesanuova,43.9045,12.4214,10.14,75,31,0.51,SM,1681259475
179,miri,4.4148,114.0089,27.08,89,40,1.54,MY,1681259475
180,nanakuli,21.3906,-158.1547,28.97,54,75,5.14,US,1681259475
181,kasongo-lunda,-6.4667,16.8167,21.53,99,100,0.49,CD,1681259476
182,caranavi,-15.8167,-67.55,18.07,98,100,0.85,BO,1681259476
183,baijiantan,45.6333,85.1833,9.31,71,35,7.97,CN,1681259477
184,westport,41.1415,-73.3579,21.75,30,100,4.47,US,1681259477
185,waddan,29.1614,16.139,10.67,67,0,1.74,LY,1681259479
186,taltal,-25.4,-70.4833,19.89,78,8,1.96,CL,1681259479
187,arlo,48.1833,20.2667,6.45,88,96,2.34,HU,1681259480
188,kamenka,51.3223,42.7678,7.21,53,100,4.29,RU,1681259480
189,bambous virieux,-20.3428,57.7575,26.23,94,75,0.51,MU,1681259309
190,harper,4.375,-7.7169,26.57,86,100,2.68,LR,1681259482
191,kapaa,22.0752,-159.319,26.99,77,100,7.72,US,1681259482
192,yulara,-25.2406,130.9889,28.03,28,100,6.71,AU,1681259483
193,dale,38.1689,-86.99,21.1,37,0,2.57,US,1681259483
194,sioux lookout,50.1001,-91.917,17.04,29,20,1.54,CA,1681259484
195,turukhansk,65.8167,87.9833,-21.74,96,100,2.93,RU,1681259485
196,pisco,-13.7,-76.2167,24.03,78,0,7.2,PE,1681259485
197,ipora,-16.4419,-51.1178,21.64,82,87,0.2,BR,1681259485
198,isangel,-19.55,169.2667,30.06,84,75,3.09,VU,1681259486
199,luderitz,-26.6481,15.1594,16.44,52,41,1.87,NA,1681259230
200,labuhan,-6.8844,112.2051,27.38,78,96,2.25,ID,1681259487
201,fairbanks,64.8378,-147.7164,-8.28,74,100,0.0,US,1681259154
202,guadalajara,20.6667,-103.3333,31.1,18,40,2.06,MX,1681259226
203,leiyang,26.4024,112.8591,22.01,89,100,1.12,CN,1681259488
204,hohhot,40.8106,111.6522,4.16,38,0,1.0,CN,1681259489
205,mandalgovi,45.7625,106.2708,5.78,22,100,7.79,MN,1681259490
206,juneau,58.3019,-134.4197,9.0,31,40,3.09,US,1681259400
207,esperance,-33.8667,121.9,19.71,62,0,5.89,AU,1681259491
